model,layer,k,seed,transform,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,4,drop_pc1_l2,768,0.35085129737854004,0.05479066073894501,3.4940417187725794,30.342320520912047,0.3432427954428537,0.3475,0.0014004602562636137,58.11911392211914
pretrained,12,20,0,drop_pc3_l2,768,0.3405461311340332,0.038152314722537994,3.8737880321319063,23.79075692473649,0.3573535075980066,0.3885,0.00045693726860918105,72.9377670288086
pretrained,12,20,1,drop_pc3_l2,768,0.3405461311340332,0.04125426337122917,3.732711790022401,23.665125469300868,0.34131523061359537,0.3555,0.00045693726860918105,72.9377670288086
pretrained,12,20,2,drop_pc3_l2,768,0.3405461311340332,0.04280523955821991,3.759206478764032,23.86193008168917,0.3449253145944158,0.3445,0.00045693726860918105,72.9377670288086
pretrained,12,20,3,drop_pc3_l2,768,0.3405461311340332,0.042078468948602676,3.8019834161842843,23.81248243715042,0.35449482484647904,0.3485,0.00045693726860918105,72.9377670288086
pretrained,12,20,4,drop_pc3_l2,768,0.3405461311340332,0.0411241389811039,3.7592677907779475,23.740362349155532,0.3545220339344396,0.367,0.00045693726860918105,72.9377670288086
pretrained,12,20,0,drop_pc5_l2,768,0.3467831611633301,0.033719390630722046,4.113384516967396,19.13991397335438,0.3298254493699558,0.3755,0.0004900319036096334,87.84939575195312
pretrained,12,20,1,drop_pc5_l2,768,0.3467831611633301,0.03335904702544212,4.071493585377532,19.025690789127996,0.3205852276162888,0.3665,0.0004900319036096334,87.84939575195312
pretrained,12,20,2,drop_pc5_l2,768,0.3467831611633301,0.032800111919641495,3.9789575963245127,18.90634271556224,0.33515661490664117,0.3865,0.0004900319036096334,87.84939575195312
pretrained,12,20,3,drop_pc5_l2,768,0.3467831611633301,0.031990889459848404,4.0746910929889095,18.80924378549774,0.32038727072245726,0.3615,0.0004900319036096334,87.84939575195312
pretrained,12,20,4,drop_pc5_l2,768,0.3467831611633301,0.033941902220249176,4.035021118473172,19.127675344060126,0.3422953577223179,0.388,0.0004900319036096334,87.84939575195312
pretrained,12,20,0,drop_pc10_l2,768,0.37108659744262695,0.023255255073308945,4.603003585720595,13.96681000149065,0.26535255763821425,0.3315,-0.00031518994364887476,113.90938568115234
pretrained,12,20,1,drop_pc10_l2,768,0.37108659744262695,0.023413633927702904,4.660581208590788,13.850968807349227,0.2655277629714604,0.338,-0.00031518994364887476,113.90938568115234
pretrained,12,20,2,drop_pc10_l2,768,0.37108659744262695,0.023040981963276863,4.595488205308126,13.988388660015374,0.23943757995514608,0.311,-0.00031518994364887476,113.90938568115234
pretrained,12,20,3,drop_pc10_l2,768,0.37108659744262695,0.023329168558120728,4.617567985246388,13.918185987629057,0.2467941067076346,0.3075,-0.00031518994364887476,113.90938568115234
pretrained,12,20,4,drop_pc10_l2,768,0.37108659744262695,0.023975921794772148,4.5650320327744245,13.884815582240261,0.28913083813262175,0.3655,-0.00031518994364887476,113.90938568115234
pretrained,12,20,0,pca50_l2,50,0.3774142265319824,0.08901786804199219,2.561292997430379,70.61445646204037,0.3719704403514392,0.354,0.002004706533625722,18.903907775878906
pretrained,12,20,1,pca50_l2,50,0.3774142265319824,0.09146691113710403,2.6099273028167684,70.67642840356037,0.3851051571384312,0.356,0.002004706533625722,18.903907775878906
pretrained,12,20,2,pca50_l2,50,0.3774142265319824,0.09144947677850723,2.6198636739070857,70.5907455331611,0.3834633791733417,0.363,0.002004706533625722,18.903907775878906
pretrained,12,20,3,pca50_l2,50,0.3774142265319824,0.08725808560848236,2.6571851557566744,70.70240575231544,0.36223051385150407,0.3355,0.002004706533625722,18.903907775878906
pretrained,12,20,4,pca50_l2,50,0.3774142265319824,0.08426328748464584,2.597772082329755,70.76715274154972,0.383965764949862,0.386,0.002004706533625722,18.903907775878906
pretrained,12,20,0,pca100_l2,100,0.4284951686859131,0.07188554108142853,2.926414690217494,55.95139078252302,0.3798356294880678,0.3505,0.0014762028586119413,25.558698654174805
pretrained,12,20,1,pca100_l2,100,0.4284951686859131,0.06981809437274933,2.892270342172527,55.94604853394206,0.3851511851986703,0.346,0.0014762028586119413,25.558698654174805
pretrained,12,20,2,pca100_l2,100,0.4284951686859131,0.073301762342453,2.9290713784216056,55.72351667135969,0.37843266154655325,0.356,0.0014762028586119413,25.558698654174805
pretrained,12,20,3,pca100_l2,100,0.4284951686859131,0.07354504615068436,2.950420086879748,56.02608444393517,0.38701659532356303,0.3745,0.0014762028586119413,25.558698654174805
pretrained,12,20,4,pca100_l2,100,0.4284951686859131,0.06929641216993332,3.0306634373494488,55.88719436856764,0.39434744919875203,0.384,0.0014762028586119413,25.558698654174805
pretrained,12,20,0,whiten50_l2,50,0.4289515018463135,0.06714271754026413,3.3726079238219326,29.126986574288853,0.4220309226498093,0.439,0.0004665164742618799,47.78717041015625
pretrained,12,20,1,whiten50_l2,50,0.4289515018463135,0.0664680153131485,3.3518374466615697,29.269798265679388,0.41734248644009836,0.4285,0.0004665164742618799,47.78717041015625
pretrained,12,20,2,whiten50_l2,50,0.4289515018463135,0.06626524776220322,3.3728224739383146,28.929803144829084,0.41610985836922165,0.416,0.0004665164742618799,47.78717041015625
pretrained,12,20,3,whiten50_l2,50,0.4289515018463135,0.06922662258148193,3.266102191964355,29.211275600857263,0.41467485245907065,0.42,0.0004665164742618799,47.78717041015625
pretrained,12,20,4,whiten50_l2,50,0.4289515018463135,0.06664814800024033,3.4095125989592487,29.15685503640935,0.42171205315307936,0.439,0.0004665164742618799,47.78717041015625
pretrained,12,20,0,whiten100_l2,100,0.3866872787475586,0.038019128143787384,4.617835419387239,15.360979871576122,0.4257070307048623,0.4325,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,whiten100_l2,100,0.3866872787475586,0.0376310870051384,4.600416187434807,15.39339556264461,0.43203608923476067,0.448,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,whiten100_l2,100,0.3866872787475586,0.03892926126718521,4.669742079618393,15.275695727566147,0.41715672623106376,0.4375,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,whiten100_l2,100,0.3866872787475586,0.03812764212489128,4.555259252680846,15.405113769733566,0.43612318146695356,0.442,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,whiten100_l2,100,0.3866872787475586,0.04003065824508667,4.5088335901626735,15.443782053523478,0.4224580753455703,0.4215,9.214430610882118e-05,95.43193817138672
