model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,l2,0,0.040653128176927567,3.178525912953285,43.21337186254477,0.36437810668420056,0.3205,0.7463680505752563,37.735260009765625
pretrained,12,20,l2,1,0.039318956434726715,3.243583615447008,43.27194331355628,0.37735722922587195,0.36,0.7463680505752563,37.735260009765625
pretrained,12,20,l2,2,0.039044998586177826,3.136868534840379,43.08395229848419,0.36829834066116063,0.3315,0.7463680505752563,37.735260009765625
pretrained,12,20,l2,3,0.0332428403198719,3.2006966061079503,43.10086689418217,0.36815161520693857,0.334,0.7463680505752563,37.735260009765625
pretrained,12,20,l2,4,0.03846995532512665,3.2027997132568222,43.19051005901971,0.3625050686849835,0.3425,0.7463680505752563,37.735260009765625
random_seed1,0,20,l2,0,0.04495099559426308,2.592452855729326,97.40219469859532,0.05172259021753916,0.1075,0.9716814756393433,14.335025787353516
random_seed1,0,20,l2,1,0.043228913098573685,2.4723529001421616,97.88523145519216,0.051110977196321856,0.1075,0.9716814756393433,14.335025787353516
random_seed1,0,20,l2,2,0.03598153963685036,2.6865523386265178,96.52621892672138,0.055631915856140746,0.112,0.9716814756393433,14.335025787353516
random_seed1,0,20,l2,3,0.048309583216905594,2.5420071968056273,96.87801571907696,0.05435265657606791,0.111,0.9716814756393433,14.335025787353516
random_seed1,0,20,l2,4,0.06652576476335526,2.4275197424507056,97.61293668540506,0.053997567909244905,0.115,0.9716814756393433,14.335025787353516
random_seed1,1,20,l2,0,0.0410538986325264,2.668644400360335,94.90470688718919,0.056100419657709164,0.1105,0.9728988409042358,14.752400398254395
random_seed1,1,20,l2,1,0.04269368201494217,2.769671326465385,94.6178291739437,0.05048899646112845,0.111,0.9728988409042358,14.752400398254395
random_seed1,1,20,l2,2,0.045020781457424164,2.507478269975123,95.74356422197926,0.05989174464334707,0.1105,0.9728988409042358,14.752400398254395
random_seed1,1,20,l2,3,0.04718771204352379,2.5533699906435965,96.56443067884308,0.049262043846193794,0.1065,0.9728988409042358,14.752400398254395
random_seed1,1,20,l2,4,0.04024367779493332,2.504311727990418,96.08849352651035,0.053221383137404925,0.112,0.9728988409042358,14.752400398254395
random_seed1,2,20,l2,0,0.044336121529340744,2.560282953814443,93.35509945918659,0.052689751156359085,0.1065,0.9724534749984741,15.590980529785156
random_seed1,2,20,l2,1,0.04479483887553215,2.5034428507445696,93.77989756517746,0.05807689725160519,0.1115,0.9724534749984741,15.590980529785156
random_seed1,2,20,l2,2,0.04216375946998596,2.785149011363426,93.77509697778804,0.04906980933624776,0.108,0.9724534749984741,15.590980529785156
random_seed1,2,20,l2,3,0.040593888610601425,2.4694008211838105,93.81483612891763,0.052050374696215825,0.1085,0.9724534749984741,15.590980529785156
random_seed1,2,20,l2,4,0.0292052049189806,2.6623070152620008,93.67638543148222,0.0605088156122863,0.117,0.9724534749984741,15.590980529785156
random_seed1,3,20,l2,0,0.051444411277770996,2.5838520735018307,90.99257593815774,0.05233395338780162,0.1075,0.972809910774231,16.42295265197754
random_seed1,3,20,l2,1,0.0351538322865963,2.684436012221568,91.57771591382411,0.053715684805329976,0.1115,0.972809910774231,16.42295265197754
random_seed1,3,20,l2,2,0.037444937974214554,2.6371417142398346,91.07743191379194,0.06223909693961721,0.115,0.972809910774231,16.42295265197754
random_seed1,3,20,l2,3,0.039872780442237854,2.237400334884339,91.21132233200173,0.048020127235765535,0.107,0.972809910774231,16.42295265197754
random_seed1,3,20,l2,4,0.0418538823723793,2.5643851417785557,91.95838706885232,0.05177876289280531,0.11,0.972809910774231,16.42295265197754
random_seed1,4,20,l2,0,0.04000858590006828,2.6557480960283013,91.33721365907034,0.05332745397631859,0.1125,0.9724811315536499,16.75243377685547
random_seed1,4,20,l2,1,0.03893573209643364,2.5814001930775294,91.88016851599018,0.0596224309230175,0.1135,0.9724811315536499,16.75243377685547
random_seed1,4,20,l2,2,0.033588770776987076,2.4627050762081173,91.76405481975443,0.05287876391787128,0.1115,0.9724811315536499,16.75243377685547
random_seed1,4,20,l2,3,0.05388695374131203,2.067538325159288,92.21769428103858,0.049809876962289744,0.107,0.9724811315536499,16.75243377685547
random_seed1,4,20,l2,4,0.03560999035835266,2.6287890680589276,92.00867578316168,0.053484737737188,0.111,0.9724811315536499,16.75243377685547
random_seed1,5,20,l2,0,0.03576160967350006,2.641095622698049,89.62233156086235,0.052399333316202425,0.109,0.9733359217643738,16.820425033569336
random_seed1,5,20,l2,1,0.05310694873332977,2.1800015093009577,91.29867104839737,0.05317436118026125,0.112,0.9733359217643738,16.820425033569336
random_seed1,5,20,l2,2,0.0349939800798893,2.4089165760443274,90.6378348575008,0.05028042353135177,0.104,0.9733359217643738,16.820425033569336
random_seed1,5,20,l2,3,0.03348664194345474,2.493400177434869,89.99690246944022,0.05129499087020958,0.1095,0.9733359217643738,16.820425033569336
random_seed1,5,20,l2,4,0.041696369647979736,2.587172843189939,91.39235337715682,0.06098644184678502,0.115,0.9733359217643738,16.820425033569336
