model,pooling,clusterer,k,seed,whiten_dim,n_features,svd_time_s,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,layer12,spherical,20,1,768,768,0.34003210067749023,0.019894123077392578,-0.00037949293619021773,12.056947073392337,1.475268942582391,0.05322642740910283,0.1315,0.0009742046240717173,725.7504272460938
pretrained,layer12,spherical,20,2,768,768,0.34003210067749023,0.019894123077392578,-0.00048356488696299493,12.216338428883615,1.4632896592558804,0.0608691458033049,0.147,0.0009742046240717173,725.7504272460938
pretrained,layer12,spherical,20,3,768,768,0.34003210067749023,0.019894123077392578,-0.00041371281258761883,12.110421528796872,1.4768478277016297,0.06960158284637125,0.158,0.0009742046240717173,725.7504272460938
pretrained,layer12,spherical,20,4,768,768,0.34003210067749023,0.019894123077392578,-0.00040401273872703314,12.249218156532331,1.4699836036631242,0.0529492929787126,0.137,0.0009742046240717173,725.7504272460938
random_seed1,layer12,spherical,20,0,10,10,0.36736559867858887,0.0011713504791259766,0.17310665547847748,1.4877712946716704,190.4153130377395,0.061358165772073946,0.1215,0.015304136089980602,7.061061382293701
random_seed1,layer12,spherical,20,1,10,10,0.36736559867858887,0.0011713504791259766,0.16871377825737,1.4945857874902755,189.96658559239353,0.05710384570356005,0.115,0.015304136089980602,7.061061382293701
random_seed1,layer12,spherical,20,2,10,10,0.36736559867858887,0.0011713504791259766,0.17182068526744843,1.4940970991719564,189.852812939558,0.06162231396605282,0.1185,0.015304136089980602,7.061061382293701
random_seed1,layer12,spherical,20,3,10,10,0.36736559867858887,0.0011713504791259766,0.16900302469730377,1.5370332055852414,190.16853050978838,0.059028117456969995,0.117,0.015304136089980602,7.061061382293701
random_seed1,layer12,spherical,20,4,10,10,0.36736559867858887,0.0011713504791259766,0.17439459264278412,1.5029108678628358,190.63157861054424,0.059814863520252164,0.112,0.015304136089980602,7.061061382293701
random_seed1,layer12,spherical,20,0,20,20,0.36736559867858887,0.0006718635559082031,0.09453998506069183,2.2882489322007933,65.55659140914013,0.06270644726142258,0.126,0.005868422333151102,15.912042617797852
random_seed1,layer12,spherical,20,1,20,20,0.36736559867858887,0.0006718635559082031,0.09340071678161621,2.2682596013258602,65.67557536287737,0.06622245618954191,0.121,0.005868422333151102,15.912042617797852
