model,pooling,transform,clusterer,k,seed,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,min_cluster_size,max_cluster_size,anisotropy,participation_ratio
pretrained,layer12,whiten100_l2,spherical,50,0,100,0.33872556686401367,0.04204113036394119,3.520464136247387,9.944307254271818,0.4185730099197914,0.4795,9,61,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,50,1,100,0.33872556686401367,0.044530294835567474,3.5235048302111136,9.947032624788163,0.4104429008471985,0.4695,10,70,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,50,2,100,0.33872556686401367,0.043368011713027954,3.5512701456031,9.905279585506863,0.42322823323754116,0.4805,10,67,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,50,3,100,0.33872556686401367,0.04180460795760155,3.564446468717298,9.847610206763381,0.4212882305753758,0.485,18,75,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,50,4,100,0.33872556686401367,0.043723106384277344,3.4933436700112526,9.958833705252365,0.411693485999421,0.4855,10,74,9.214430610882118e-05,95.43193817138672
random_seed1,layer12,whiten100_l2,spherical,5,0,100,0.3387749195098877,0.02098187431693077,6.497899637040424,24.443465023610788,0.0196584317646012,0.0875,315,446,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,5,1,100,0.3387749195098877,0.02099473588168621,6.51939867967086,24.393704852947153,0.01979647826977743,0.0855,294,465,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,5,2,100,0.3387749195098877,0.020755987614393234,6.4740016005873215,24.491845078150156,0.02110641609223179,0.087,345,467,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,5,3,100,0.3387749195098877,0.02111675962805748,6.475578249213115,24.428571645727864,0.02001059898251493,0.0905,349,445,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,5,4,100,0.3387749195098877,0.02092357724905014,6.513888199312618,24.49502691201055,0.01942149764063088,0.088,328,457,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,10,0,100,0.3387749195098877,0.027202704921364784,5.6034101946119765,19.20076138561005,0.03281215857621068,0.1015,97,289,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,10,1,100,0.3387749195098877,0.02544463239610195,5.557978469488965,19.33369462620825,0.03121422938920697,0.0965,95,260,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,10,2,100,0.3387749195098877,0.02647584117949009,5.607555945882388,19.293194209327535,0.03192239674961323,0.097,97,271,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,10,3,100,0.3387749195098877,0.024787606671452522,5.589375659259579,18.98398172107695,0.03535574726083024,0.099,100,271,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,10,4,100,0.3387749195098877,0.02463211491703987,5.71447710194864,19.065799240528843,0.030716397693681462,0.098,98,261,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,20,0,100,0.3387749195098877,0.02243080921471119,5.0974842986805236,12.064430877201481,0.06132197646450951,0.129,26,153,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,20,1,100,0.3387749195098877,0.023956255987286568,4.945252389885607,12.23882111832296,0.0610921267707335,0.12,24,154,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,20,2,100,0.3387749195098877,0.026368984952569008,4.919251665772498,12.485687487043867,0.05704564792040362,0.113,25,161,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,20,3,100,0.3387749195098877,0.024838626384735107,5.0114685446409455,12.389397857074595,0.056984534602223115,0.1215,23,142,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,20,4,100,0.3387749195098877,0.02281389757990837,5.04268772755717,12.227924417980622,0.060417923549648395,0.1215,33,156,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,50,0,100,0.3387749195098877,0.026129910722374916,4.157303677936762,7.285567400140443,0.11395121288147615,0.1545,14,98,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,50,1,100,0.3387749195098877,0.025370270013809204,4.152417624380875,7.363775837751717,0.11471708795280292,0.162,14,70,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,50,2,100,0.3387749195098877,0.023379633203148842,4.2264514658740815,7.252991852325957,0.12090284917949867,0.1655,15,65,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,50,3,100,0.3387749195098877,0.02780783548951149,4.164988748045487,7.429370176755469,0.11697659020799006,0.159,12,81,0.0008403902756981552,90.39918518066406
random_seed1,layer12,whiten100_l2,spherical,50,4,100,0.3387749195098877,0.02602340653538704,4.101829033903397,7.418910656946819,0.11070506650982707,0.158,13,83,0.0008403902756981552,90.39918518066406
